Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
0,features.conv0,"(81, 0, 0, 2)",17,10000,10000,0,0
1,features.conv0,"(31, 0, 0, 2)",6,10000,2523,7477,0
2,features.denseblock1.denselayer1.conv1,"(173, 94, 0, 0)",2,10000,10000,0,0
3,features.denseblock1.denselayer1.conv1,"(7, 11, 0, 0)",1,10000,10000,0,0
4,features.denseblock1.denselayer1.conv1,"(143, 25, 0, 0)",28,10000,10000,0,0
5,features.denseblock1.denselayer1.conv1,"(150, 35, 0, 0)",27,10000,10000,0,0
6,features.denseblock1.denselayer1.conv1,"(87, 35, 0, 0)",21,10000,10000,0,0
7,features.denseblock1.denselayer1.conv1,"(26, 11, 0, 0)",22,10000,1,9997,2
8,features.denseblock1.denselayer1.conv1,"(88, 77, 0, 0)",29,10000,10000,0,0
9,features.denseblock1.denselayer1.conv1,"(137, 15, 0, 0)",18,10000,10000,0,0
10,features.denseblock1.denselayer1.conv1,"(160, 79, 0, 0)",4,10000,10000,0,0
11,features.denseblock1.denselayer1.conv1,"(11, 84, 0, 0)",5,10000,10000,0,0
12,features.denseblock1.denselayer1.conv1,"(59, 12, 0, 0)",29,10000,10000,0,0
13,features.denseblock1.denselayer1.conv1,"(162, 46, 0, 0)",22,10000,0,9999,1
14,features.denseblock1.denselayer1.conv2,"(13, 171, 1, 2)",4,10000,10000,0,0
15,features.denseblock1.denselayer1.conv2,"(38, 162, 0, 2)",15,10000,0,10000,0
16,features.denseblock1.denselayer1.conv2,"(10, 118, 1, 1)",14,10000,93,9907,0
17,features.denseblock1.denselayer1.conv2,"(43, 83, 0, 0)",2,10000,10000,0,0
18,features.denseblock1.denselayer1.conv2,"(20, 102, 1, 0)",13,10000,256,9744,0
19,features.denseblock1.denselayer1.conv2,"(36, 183, 1, 0)",31,10000,0,9998,2
20,features.denseblock1.denselayer1.conv2,"(25, 164, 1, 0)",16,10000,13,9987,0
21,features.denseblock1.denselayer1.conv2,"(8, 63, 2, 2)",16,10000,2801,7199,0
22,features.denseblock1.denselayer1.conv2,"(47, 149, 1, 2)",25,10000,0,10000,0
23,features.denseblock1.denselayer1.conv2,"(23, 56, 0, 2)",31,10000,0,9999,1
24,features.denseblock1.denselayer1.conv2,"(5, 12, 0, 0)",10,10000,10000,0,0
25,features.denseblock1.denselayer1.conv2,"(43, 108, 2, 0)",24,10000,0,9999,1
26,features.denseblock1.denselayer1.conv2,"(24, 152, 1, 2)",16,10000,41,9959,0
27,features.denseblock1.denselayer1.conv2,"(35, 2, 2, 2)",7,10000,10000,0,0
28,features.denseblock1.denselayer1.conv2,"(43, 137, 1, 2)",21,10000,0,10000,0
29,features.denseblock1.denselayer1.conv2,"(7, 75, 1, 0)",29,10000,0,9999,1
30,features.denseblock1.denselayer1.conv2,"(0, 184, 2, 1)",11,10000,10000,0,0
31,features.denseblock1.denselayer1.conv2,"(32, 27, 2, 1)",12,10000,3774,6226,0
32,features.denseblock1.denselayer1.conv2,"(9, 95, 0, 2)",0,10000,10000,0,0
33,features.denseblock1.denselayer1.conv2,"(38, 82, 1, 0)",7,10000,10000,0,0
34,features.denseblock1.denselayer1.conv2,"(23, 78, 0, 0)",15,10000,7,9993,0
35,features.denseblock1.denselayer1.conv2,"(36, 20, 0, 2)",31,10000,17,9982,1
36,features.denseblock1.denselayer1.conv2,"(4, 136, 0, 0)",30,10000,0,965,9035
37,features.denseblock1.denselayer1.conv2,"(35, 42, 1, 2)",27,10000,0,9999,1
38,features.denseblock1.denselayer1.conv2,"(13, 138, 2, 2)",12,10000,7,9993,0
39,features.denseblock1.denselayer1.conv2,"(45, 79, 1, 2)",23,10000,0,9999,1
40,features.denseblock1.denselayer1.conv2,"(28, 132, 1, 0)",15,10000,0,9998,2
41,features.denseblock1.denselayer1.conv2,"(14, 16, 1, 0)",14,10000,348,9652,0
42,features.denseblock1.denselayer1.conv2,"(37, 56, 0, 0)",3,10000,10000,0,0
43,features.denseblock1.denselayer1.conv2,"(14, 17, 0, 1)",4,10000,10000,0,0
44,features.denseblock1.denselayer1.conv2,"(32, 60, 1, 2)",31,10000,0,9996,4
45,features.denseblock1.denselayer1.conv2,"(13, 138, 0, 2)",30,10000,0,9902,98
46,features.denseblock1.denselayer1.conv2,"(15, 121, 1, 0)",6,10000,10000,0,0
47,features.denseblock1.denselayer1.conv2,"(6, 168, 1, 1)",27,10000,0,9998,2
48,features.denseblock1.denselayer1.conv2,"(26, 119, 2, 0)",6,10000,10000,0,0
49,features.denseblock1.denselayer1.conv2,"(3, 103, 2, 1)",6,10000,10000,0,0
50,features.denseblock1.denselayer1.conv2,"(15, 49, 0, 2)",28,10000,0,9999,1
51,features.denseblock1.denselayer1.conv2,"(8, 108, 0, 1)",29,10000,1,9997,2
52,features.denseblock1.denselayer1.conv2,"(15, 19, 1, 2)",6,10000,10000,0,0
53,features.denseblock1.denselayer1.conv2,"(3, 166, 2, 0)",5,10000,10000,0,0
54,features.denseblock1.denselayer1.conv2,"(15, 42, 1, 1)",30,10000,0,9934,66
55,features.denseblock1.denselayer1.conv2,"(13, 102, 0, 0)",24,10000,0,9999,1
56,features.denseblock1.denselayer1.conv2,"(0, 99, 1, 1)",18,10000,0,9999,1
57,features.denseblock1.denselayer1.conv2,"(27, 178, 2, 2)",31,10000,0,9997,3
58,features.denseblock1.denselayer1.conv2,"(9, 48, 1, 0)",3,10000,10000,0,0
59,features.denseblock1.denselayer1.conv2,"(37, 188, 2, 0)",20,10000,0,10000,0
60,features.denseblock1.denselayer1.conv2,"(3, 12, 2, 1)",10,10000,10000,0,0
61,features.denseblock1.denselayer1.conv2,"(3, 130, 0, 0)",4,10000,10000,0,0
62,features.denseblock1.denselayer1.conv2,"(38, 17, 2, 0)",25,10000,0,9998,2
63,features.denseblock1.denselayer1.conv2,"(7, 145, 0, 2)",2,10000,10000,0,0
64,features.denseblock1.denselayer1.conv2,"(39, 20, 1, 2)",20,10000,26,9973,1
65,features.denseblock1.denselayer1.conv2,"(16, 52, 2, 2)",20,10000,2,9998,0
66,features.denseblock1.denselayer1.conv2,"(15, 67, 1, 0)",19,10000,0,9999,1
67,features.denseblock1.denselayer2.conv1,"(117, 80, 0, 0)",29,10000,6,9994,0
68,features.denseblock1.denselayer2.conv1,"(159, 25, 0, 0)",16,10000,10000,0,0
69,features.denseblock1.denselayer2.conv1,"(33, 89, 0, 0)",23,10000,10000,0,0
70,features.denseblock1.denselayer2.conv1,"(72, 40, 0, 0)",0,10000,10000,0,0
71,features.denseblock1.denselayer2.conv1,"(170, 141, 0, 0)",8,10000,10000,0,0
72,features.denseblock1.denselayer2.conv1,"(67, 29, 0, 0)",17,10000,234,9765,1
73,features.denseblock1.denselayer2.conv1,"(72, 53, 0, 0)",16,10000,2260,7739,1
74,features.denseblock1.denselayer2.conv1,"(129, 125, 0, 0)",5,10000,10000,0,0
75,features.denseblock1.denselayer2.conv1,"(162, 108, 0, 0)",0,10000,10000,0,0
76,features.denseblock1.denselayer2.conv1,"(85, 33, 0, 0)",28,10000,41,9958,1
77,features.denseblock1.denselayer2.conv1,"(141, 109, 0, 0)",4,10000,10000,0,0
78,features.denseblock1.denselayer2.conv1,"(176, 38, 0, 0)",9,10000,10000,0,0
79,features.denseblock1.denselayer2.conv1,"(110, 32, 0, 0)",23,10000,9,9990,1
80,features.denseblock1.denselayer2.conv1,"(10, 91, 0, 0)",6,10000,10000,0,0
81,features.denseblock1.denselayer2.conv1,"(90, 143, 0, 0)",15,10000,5650,4350,0
82,features.denseblock1.denselayer2.conv1,"(41, 45, 0, 0)",11,10000,10000,0,0
83,features.denseblock1.denselayer2.conv1,"(188, 85, 0, 0)",17,10000,820,9179,1
84,features.denseblock1.denselayer2.conv1,"(40, 27, 0, 0)",30,10000,376,9622,2
85,features.denseblock1.denselayer2.conv2,"(14, 51, 1, 1)",19,10000,15,9985,0
86,features.denseblock1.denselayer2.conv2,"(14, 57, 0, 2)",12,10000,468,9532,0
87,features.denseblock1.denselayer2.conv2,"(25, 84, 1, 0)",17,10000,201,9799,0
88,features.denseblock1.denselayer2.conv2,"(22, 164, 2, 1)",21,10000,8,9992,0
89,features.denseblock1.denselayer2.conv2,"(1, 29, 1, 0)",16,10000,2436,7564,0
90,features.denseblock1.denselayer2.conv2,"(2, 27, 2, 1)",22,10000,369,9631,0
91,features.denseblock1.denselayer2.conv2,"(46, 80, 1, 2)",7,10000,10000,0,0
92,features.denseblock1.denselayer2.conv2,"(24, 147, 0, 1)",2,10000,10000,0,0
93,features.denseblock1.denselayer2.conv2,"(45, 111, 0, 2)",12,10000,3090,6910,0
94,features.denseblock1.denselayer2.conv2,"(23, 110, 0, 2)",21,10000,3,9995,2
95,features.denseblock1.denselayer2.conv2,"(39, 80, 2, 0)",19,10000,231,9769,0
96,features.denseblock1.denselayer2.conv2,"(32, 79, 2, 1)",20,10000,310,9689,1
97,features.denseblock1.denselayer2.conv2,"(25, 178, 1, 2)",8,10000,10000,0,0
98,features.denseblock1.denselayer2.conv2,"(12, 107, 2, 1)",11,10000,10000,0,0
99,features.denseblock1.denselayer2.conv2,"(39, 145, 1, 1)",0,10000,10000,0,0
100,features.denseblock1.denselayer2.conv2,"(19, 73, 0, 1)",20,10000,1066,8934,0
101,features.denseblock1.denselayer2.conv2,"(29, 113, 1, 2)",13,10000,9729,271,0
102,features.denseblock1.denselayer2.conv2,"(32, 121, 2, 0)",5,10000,10000,0,0
103,features.denseblock1.denselayer2.conv2,"(18, 131, 2, 2)",21,10000,258,9741,1
104,features.denseblock1.denselayer2.conv2,"(5, 60, 2, 1)",14,10000,2266,7733,1
105,features.denseblock1.denselayer2.conv2,"(12, 37, 0, 0)",15,10000,1863,8137,0
106,features.denseblock1.denselayer2.conv2,"(30, 156, 0, 1)",26,10000,276,9716,8
107,features.denseblock1.denselayer2.conv2,"(40, 147, 0, 2)",24,10000,11,9986,3
108,features.denseblock1.denselayer2.conv2,"(31, 102, 0, 0)",0,10000,10000,0,0
109,features.denseblock1.denselayer2.conv2,"(6, 108, 0, 0)",29,10000,74,9926,0
110,features.denseblock1.denselayer2.conv2,"(3, 142, 0, 0)",29,10000,77,9922,1
111,features.denseblock1.denselayer2.conv2,"(8, 118, 2, 2)",20,10000,33,9967,0
112,features.denseblock1.denselayer2.conv2,"(28, 156, 2, 2)",27,10000,1164,8834,2
113,features.denseblock1.denselayer2.conv2,"(35, 114, 0, 2)",30,10000,177,9801,22
114,features.denseblock1.denselayer2.conv2,"(28, 66, 0, 2)",17,10000,1456,8543,1
115,features.denseblock1.denselayer2.conv2,"(33, 124, 2, 0)",17,10000,144,9855,1
116,features.denseblock1.denselayer2.conv2,"(28, 19, 2, 1)",15,10000,4914,5086,0
117,features.denseblock1.denselayer2.conv2,"(17, 85, 1, 2)",5,10000,10000,0,0
118,features.denseblock1.denselayer2.conv2,"(8, 38, 0, 1)",9,10000,10000,0,0
119,features.denseblock1.denselayer2.conv2,"(45, 54, 0, 1)",26,10000,19,9980,1
120,features.denseblock1.denselayer2.conv2,"(21, 138, 1, 1)",3,10000,10000,0,0
121,features.denseblock1.denselayer2.conv2,"(13, 107, 1, 2)",1,10000,10000,0,0
122,features.denseblock1.denselayer2.conv2,"(36, 97, 1, 0)",22,10000,0,9998,2
123,features.denseblock1.denselayer2.conv2,"(19, 99, 1, 2)",14,10000,6593,3407,0
124,features.denseblock1.denselayer2.conv2,"(31, 56, 1, 1)",31,10000,120,9880,0
125,features.denseblock1.denselayer2.conv2,"(1, 99, 1, 2)",25,10000,967,9033,0
126,features.denseblock1.denselayer2.conv2,"(46, 42, 1, 0)",1,10000,10000,0,0
127,features.denseblock1.denselayer2.conv2,"(25, 151, 2, 2)",1,10000,10000,0,0
128,features.denseblock1.denselayer2.conv2,"(5, 164, 1, 0)",29,10000,130,9869,1
129,features.denseblock1.denselayer2.conv2,"(11, 12, 1, 1)",20,10000,64,9935,1
130,features.denseblock1.denselayer2.conv2,"(13, 116, 1, 1)",24,10000,71,9929,0
131,features.denseblock1.denselayer2.conv2,"(17, 107, 1, 0)",30,10000,3,698,9299
132,features.denseblock1.denselayer2.conv2,"(1, 191, 2, 0)",22,10000,627,9373,0
133,features.denseblock1.denselayer2.conv2,"(14, 166, 0, 2)",2,10000,10000,0,0
134,features.denseblock1.denselayer2.conv2,"(1, 63, 0, 0)",9,10000,10000,0,0
135,features.denseblock1.denselayer2.conv2,"(15, 32, 1, 2)",7,10000,10000,0,0
136,features.denseblock1.denselayer2.conv2,"(36, 55, 1, 2)",16,10000,390,9610,0
137,features.denseblock1.denselayer2.conv2,"(23, 42, 2, 2)",7,10000,10000,0,0
138,features.denseblock1.denselayer3.conv1,"(41, 79, 0, 0)",19,10000,0,9998,2
139,features.denseblock1.denselayer3.conv1,"(147, 173, 0, 0)",12,10000,8890,1110,0
140,features.denseblock1.denselayer3.conv1,"(19, 151, 0, 0)",19,10000,33,9967,0
141,features.denseblock1.denselayer3.conv1,"(175, 153, 0, 0)",22,10000,98,9901,1
142,features.denseblock1.denselayer3.conv1,"(136, 109, 0, 0)",21,10000,5,9995,0
143,features.denseblock1.denselayer3.conv1,"(3, 107, 0, 0)",27,10000,286,9714,0
144,features.denseblock1.denselayer3.conv1,"(92, 162, 0, 0)",27,10000,26,9974,0
145,features.denseblock1.denselayer3.conv1,"(45, 187, 0, 0)",29,10000,246,9753,1
146,features.denseblock1.denselayer3.conv1,"(111, 187, 0, 0)",15,10000,57,9943,0
147,features.denseblock1.denselayer3.conv1,"(22, 71, 0, 0)",29,10000,10000,0,0
148,features.denseblock1.denselayer3.conv1,"(145, 156, 0, 0)",1,10000,10000,0,0
149,features.denseblock1.denselayer3.conv1,"(126, 83, 0, 0)",13,10000,4886,5114,0
150,features.denseblock1.denselayer3.conv1,"(90, 66, 0, 0)",17,10000,10000,0,0
151,features.denseblock1.denselayer3.conv1,"(142, 2, 0, 0)",15,10000,6247,3753,0
152,features.denseblock1.denselayer3.conv1,"(184, 104, 0, 0)",30,10000,143,9855,2
153,features.denseblock1.denselayer3.conv1,"(165, 182, 0, 0)",1,10000,10000,0,0
154,features.denseblock1.denselayer3.conv1,"(23, 75, 0, 0)",15,10000,34,9965,1
155,features.denseblock1.denselayer3.conv1,"(78, 169, 0, 0)",22,10000,16,9983,1
156,features.denseblock1.denselayer3.conv1,"(108, 190, 0, 0)",29,10000,0,9998,2
157,features.denseblock1.denselayer3.conv1,"(69, 78, 0, 0)",7,10000,10000,0,0
158,features.denseblock1.denselayer3.conv1,"(184, 49, 0, 0)",11,10000,10000,0,0
159,features.denseblock1.denselayer3.conv1,"(49, 55, 0, 0)",18,10000,263,9736,1
160,features.denseblock1.denselayer3.conv1,"(25, 49, 0, 0)",23,10000,4,9995,1
161,features.denseblock1.denselayer3.conv2,"(11, 77, 0, 2)",8,10000,10000,0,0
162,features.denseblock1.denselayer3.conv2,"(17, 11, 0, 2)",18,10000,55,9945,0
163,features.denseblock1.denselayer3.conv2,"(44, 32, 2, 1)",6,10000,10000,0,0
164,features.denseblock1.denselayer3.conv2,"(0, 146, 1, 1)",30,10000,0,1043,8957
165,features.denseblock1.denselayer3.conv2,"(28, 87, 0, 0)",16,10000,0,9999,1
166,features.denseblock1.denselayer3.conv2,"(30, 29, 0, 1)",31,10000,2,9997,1
167,features.denseblock1.denselayer3.conv2,"(4, 147, 2, 2)",3,10000,10000,0,0
168,features.denseblock1.denselayer3.conv2,"(9, 38, 2, 1)",5,10000,10000,0,0
169,features.denseblock1.denselayer3.conv2,"(15, 30, 2, 1)",14,10000,1566,8434,0
170,features.denseblock1.denselayer3.conv2,"(33, 97, 1, 1)",19,10000,85,9914,1
171,features.denseblock1.denselayer3.conv2,"(37, 109, 1, 2)",3,10000,10000,0,0
172,features.denseblock1.denselayer3.conv2,"(39, 189, 0, 0)",13,10000,1404,8596,0
173,features.denseblock1.denselayer3.conv2,"(16, 169, 0, 0)",15,10000,1357,8643,0
174,features.denseblock1.denselayer3.conv2,"(11, 141, 0, 0)",0,10000,10000,0,0
175,features.denseblock1.denselayer3.conv2,"(26, 115, 2, 2)",30,10000,0,1043,8957
176,features.denseblock1.denselayer3.conv2,"(18, 8, 0, 1)",18,10000,4,9996,0
177,features.denseblock1.denselayer3.conv2,"(44, 116, 0, 2)",14,10000,1261,8739,0
178,features.denseblock1.denselayer3.conv2,"(16, 160, 2, 2)",12,10000,1942,8058,0
179,features.denseblock1.denselayer3.conv2,"(27, 29, 2, 0)",9,10000,10000,0,0
180,features.denseblock1.denselayer3.conv2,"(17, 36, 0, 0)",10,10000,10000,0,0
181,features.denseblock1.denselayer3.conv2,"(19, 152, 2, 2)",18,10000,12,9988,0
182,features.denseblock1.denselayer3.conv2,"(28, 31, 1, 2)",19,10000,0,9999,1
183,features.denseblock1.denselayer3.conv2,"(44, 103, 1, 2)",31,10000,0,10000,0
184,features.denseblock1.denselayer3.conv2,"(28, 20, 2, 0)",27,10000,146,9854,0
185,features.denseblock1.denselayer3.conv2,"(47, 82, 2, 1)",1,10000,10000,0,0
186,features.denseblock1.denselayer3.conv2,"(5, 58, 2, 2)",1,10000,10000,0,0
187,features.denseblock1.denselayer3.conv2,"(43, 68, 2, 0)",11,10000,10000,0,0
188,features.denseblock1.denselayer3.conv2,"(30, 132, 2, 1)",17,10000,515,9485,0
189,features.denseblock1.denselayer3.conv2,"(11, 149, 1, 2)",31,10000,0,9998,2
190,features.denseblock1.denselayer3.conv2,"(5, 120, 1, 1)",21,10000,8,9992,0
191,features.denseblock1.denselayer3.conv2,"(20, 171, 0, 0)",21,10000,0,9999,1
192,features.denseblock1.denselayer3.conv2,"(26, 177, 1, 1)",25,10000,0,9999,1
193,features.denseblock1.denselayer3.conv2,"(35, 9, 1, 0)",20,10000,1,9998,1
194,features.denseblock1.denselayer3.conv2,"(16, 82, 0, 1)",0,10000,10000,0,0
195,features.denseblock1.denselayer3.conv2,"(42, 138, 1, 1)",3,10000,10000,0,0
196,features.denseblock1.denselayer3.conv2,"(12, 132, 1, 2)",31,10000,0,9996,4
197,features.denseblock1.denselayer3.conv2,"(40, 113, 0, 0)",17,10000,0,10000,0
198,features.denseblock1.denselayer3.conv2,"(35, 33, 1, 1)",31,10000,0,9999,1
199,features.denseblock1.denselayer3.conv2,"(7, 7, 2, 2)",15,10000,0,9999,1
200,features.denseblock1.denselayer3.conv2,"(45, 40, 1, 2)",0,10000,10000,0,0
201,features.denseblock1.denselayer3.conv2,"(35, 104, 0, 0)",7,10000,10000,0,0
202,features.denseblock1.denselayer3.conv2,"(29, 30, 2, 0)",31,10000,6,9994,0
203,features.denseblock1.denselayer3.conv2,"(45, 74, 2, 2)",17,10000,13,9987,0
204,features.denseblock1.denselayer3.conv2,"(26, 123, 1, 0)",29,10000,0,10000,0
205,features.denseblock1.denselayer3.conv2,"(35, 37, 1, 0)",8,10000,10000,0,0
206,features.denseblock1.denselayer3.conv2,"(4, 70, 1, 1)",17,10000,362,9638,0
207,features.denseblock1.denselayer3.conv2,"(0, 72, 2, 1)",31,10000,49,9950,1
208,features.denseblock1.denselayer3.conv2,"(9, 114, 2, 1)",22,10000,0,10000,0
209,features.denseblock1.denselayer3.conv2,"(21, 141, 2, 1)",29,10000,3,9995,2
210,features.denseblock1.denselayer3.conv2,"(20, 48, 2, 0)",24,10000,6,9993,1
211,features.denseblock1.denselayer3.conv2,"(14, 105, 0, 1)",30,10000,0,9975,25
212,features.denseblock1.denselayer3.conv2,"(45, 97, 1, 2)",9,10000,10000,0,0
213,features.denseblock1.denselayer3.conv2,"(31, 9, 0, 2)",21,10000,1,9999,0
214,features.denseblock1.denselayer4.conv1,"(25, 223, 0, 0)",29,10000,0,10000,0
215,features.denseblock1.denselayer4.conv1,"(3, 184, 0, 0)",9,10000,10000,0,0
216,features.denseblock1.denselayer4.conv1,"(19, 120, 0, 0)",25,10000,0,9998,2
217,features.denseblock1.denselayer4.conv1,"(166, 20, 0, 0)",20,10000,10000,0,0
218,features.denseblock1.denselayer4.conv1,"(160, 183, 0, 0)",4,10000,10000,0,0
219,features.denseblock1.denselayer4.conv1,"(60, 161, 0, 0)",5,10000,10000,0,0
220,features.denseblock1.denselayer4.conv1,"(111, 25, 0, 0)",10,10000,10000,0,0
221,features.denseblock1.denselayer4.conv1,"(177, 76, 0, 0)",20,10000,10000,0,0
222,features.denseblock1.denselayer4.conv1,"(14, 75, 0, 0)",27,10000,0,10000,0
223,features.denseblock1.denselayer4.conv1,"(37, 62, 0, 0)",10,10000,10000,0,0
224,features.denseblock1.denselayer4.conv1,"(44, 20, 0, 0)",31,10000,10000,0,0
225,features.denseblock1.denselayer4.conv1,"(149, 36, 0, 0)",16,10000,6682,3318,0
226,features.denseblock1.denselayer4.conv1,"(117, 65, 0, 0)",18,10000,0,9999,1
227,features.denseblock1.denselayer4.conv1,"(173, 139, 0, 0)",28,10000,7,9992,1
228,features.denseblock1.denselayer4.conv1,"(88, 150, 0, 0)",16,10000,9767,233,0
229,features.denseblock1.denselayer4.conv1,"(116, 216, 0, 0)",24,10000,0,9999,1
230,features.denseblock1.denselayer4.conv1,"(123, 27, 0, 0)",22,10000,0,9999,1
231,features.denseblock1.denselayer4.conv1,"(147, 75, 0, 0)",25,10000,19,9979,2
232,features.denseblock1.denselayer4.conv1,"(70, 2, 0, 0)",18,10000,0,9999,1
233,features.denseblock1.denselayer4.conv1,"(58, 155, 0, 0)",12,10000,1418,8582,0
234,features.denseblock1.denselayer4.conv1,"(158, 64, 0, 0)",2,10000,10000,0,0
235,features.denseblock1.denselayer4.conv1,"(79, 201, 0, 0)",23,10000,21,9979,0
236,features.denseblock1.denselayer4.conv1,"(187, 33, 0, 0)",20,10000,85,9915,0
237,features.denseblock1.denselayer4.conv1,"(191, 106, 0, 0)",8,10000,10000,0,0
238,features.denseblock1.denselayer4.conv1,"(138, 224, 0, 0)",10,10000,10000,0,0
239,features.denseblock1.denselayer4.conv1,"(65, 233, 0, 0)",21,10000,6,9993,1
240,features.denseblock1.denselayer4.conv1,"(29, 119, 0, 0)",14,10000,4,9995,1
241,features.denseblock1.denselayer4.conv1,"(173, 185, 0, 0)",5,10000,10000,0,0
242,features.denseblock1.denselayer4.conv1,"(101, 3, 0, 0)",29,10000,0,9998,2
243,features.denseblock1.denselayer4.conv2,"(23, 172, 2, 2)",16,10000,1476,8524,0
244,features.denseblock1.denselayer4.conv2,"(37, 97, 2, 1)",6,10000,10000,0,0
245,features.denseblock1.denselayer4.conv2,"(43, 59, 1, 0)",20,10000,0,9999,1
246,features.denseblock1.denselayer4.conv2,"(39, 56, 2, 0)",29,10000,0,9999,1
247,features.denseblock1.denselayer4.conv2,"(44, 77, 2, 1)",7,10000,10000,0,0
248,features.denseblock1.denselayer4.conv2,"(8, 11, 0, 1)",31,10000,0,9999,1
249,features.denseblock1.denselayer4.conv2,"(7, 24, 0, 2)",8,10000,10000,0,0
250,features.denseblock1.denselayer4.conv2,"(24, 116, 1, 2)",26,10000,0,9884,116
251,features.denseblock1.denselayer4.conv2,"(37, 190, 2, 0)",26,10000,0,9996,4
252,features.denseblock1.denselayer4.conv2,"(41, 25, 1, 2)",26,10000,0,9992,8
253,features.denseblock1.denselayer4.conv2,"(17, 8, 2, 1)",13,10000,1635,8365,0
254,features.denseblock1.denselayer4.conv2,"(28, 113, 0, 1)",6,10000,10000,0,0
255,features.denseblock1.denselayer4.conv2,"(43, 94, 2, 2)",22,10000,66,9934,0
256,features.denseblock1.denselayer4.conv2,"(3, 101, 1, 0)",7,10000,10000,0,0
257,features.denseblock1.denselayer4.conv2,"(29, 23, 2, 0)",1,10000,10000,0,0
258,features.denseblock1.denselayer4.conv2,"(3, 85, 0, 0)",13,10000,164,9836,0
259,features.denseblock1.denselayer4.conv2,"(4, 141, 0, 2)",13,10000,514,9486,0
260,features.denseblock1.denselayer4.conv2,"(14, 84, 0, 2)",0,10000,10000,0,0
261,features.denseblock1.denselayer4.conv2,"(17, 37, 0, 2)",16,10000,750,9249,1
262,features.denseblock1.denselayer4.conv2,"(11, 28, 2, 0)",8,10000,10000,0,0
263,features.denseblock1.denselayer4.conv2,"(0, 91, 0, 2)",20,10000,0,10000,0
264,features.denseblock1.denselayer4.conv2,"(1, 44, 1, 0)",8,10000,10000,0,0
265,features.denseblock1.denselayer4.conv2,"(47, 107, 2, 0)",4,10000,10000,0,0
266,features.denseblock1.denselayer4.conv2,"(30, 114, 1, 2)",6,10000,10000,0,0
267,features.denseblock1.denselayer4.conv2,"(28, 128, 0, 2)",2,10000,10000,0,0
268,features.denseblock1.denselayer4.conv2,"(46, 168, 2, 1)",29,10000,0,9999,1
269,features.denseblock1.denselayer4.conv2,"(41, 7, 0, 1)",25,10000,0,9999,1
270,features.denseblock1.denselayer4.conv2,"(27, 175, 0, 1)",28,10000,0,9999,1
271,features.denseblock1.denselayer4.conv2,"(4, 20, 1, 2)",9,10000,10000,0,0
272,features.denseblock1.denselayer4.conv2,"(4, 32, 1, 2)",20,10000,5099,4901,0
273,features.denseblock1.denselayer4.conv2,"(24, 152, 2, 1)",29,10000,3,9997,0
274,features.denseblock1.denselayer4.conv2,"(32, 154, 1, 0)",7,10000,10000,0,0
275,features.denseblock1.denselayer4.conv2,"(41, 166, 2, 2)",13,10000,144,9856,0
276,features.denseblock1.denselayer4.conv2,"(27, 115, 0, 1)",21,10000,0,10000,0
277,features.denseblock1.denselayer4.conv2,"(29, 102, 1, 2)",6,10000,10000,0,0
278,features.denseblock1.denselayer4.conv2,"(20, 109, 1, 2)",16,10000,0,10000,0
279,features.denseblock1.denselayer4.conv2,"(23, 39, 2, 1)",4,10000,10000,0,0
280,features.denseblock1.denselayer4.conv2,"(5, 21, 0, 1)",6,10000,10000,0,0
281,features.denseblock1.denselayer4.conv2,"(47, 189, 1, 0)",3,10000,10000,0,0
282,features.denseblock1.denselayer4.conv2,"(37, 143, 2, 1)",7,10000,10000,0,0
283,features.denseblock1.denselayer4.conv2,"(26, 90, 2, 1)",3,10000,10000,0,0
284,features.denseblock1.denselayer4.conv2,"(18, 153, 1, 1)",6,10000,10000,0,0
285,features.denseblock1.denselayer4.conv2,"(36, 129, 0, 0)",30,10000,0,9961,39
286,features.denseblock1.denselayer4.conv2,"(14, 27, 1, 2)",23,10000,0,9999,1
287,features.denseblock1.denselayer4.conv2,"(7, 71, 2, 0)",27,10000,0,9999,1
288,features.denseblock1.denselayer4.conv2,"(35, 159, 2, 2)",1,10000,10000,0,0
289,features.denseblock1.denselayer4.conv2,"(38, 168, 2, 1)",1,10000,10000,0,0
290,features.denseblock1.denselayer4.conv2,"(11, 69, 2, 1)",21,10000,0,9999,1
291,features.denseblock1.denselayer4.conv2,"(22, 1, 0, 0)",25,10000,0,9999,1
292,features.denseblock1.denselayer4.conv2,"(4, 36, 2, 2)",1,10000,10000,0,0
293,features.denseblock1.denselayer4.conv2,"(5, 191, 2, 0)",24,10000,0,9998,2
294,features.denseblock1.denselayer4.conv2,"(26, 116, 1, 0)",23,10000,28,9970,2
295,features.denseblock1.denselayer4.conv2,"(19, 184, 1, 2)",5,10000,10000,0,0
296,features.denseblock1.denselayer5.conv1,"(13, 79, 0, 0)",5,10000,10000,0,0
297,features.denseblock1.denselayer5.conv1,"(69, 226, 0, 0)",28,10000,0,9999,1
298,features.denseblock1.denselayer5.conv1,"(106, 139, 0, 0)",22,10000,0,9998,2
299,features.denseblock1.denselayer5.conv1,"(110, 56, 0, 0)",19,10000,10000,0,0
300,features.denseblock1.denselayer5.conv1,"(11, 112, 0, 0)",0,10000,10000,0,0
301,features.denseblock1.denselayer5.conv1,"(52, 154, 0, 0)",16,10000,1254,8746,0
302,features.denseblock1.denselayer5.conv1,"(74, 167, 0, 0)",31,10000,50,9949,1
